Date,Equity_NSE,Bond,Gold
2023-10-06,19653.5,52.97999954223633,48.380001068115234
2023-10-09,19512.349609375,52.83000183105469,48.880001068115234
2023-10-10,19689.849609375,52.849998474121094,48.93000030517578
2023-10-11,19811.349609375,52.939998626708984,49.16999816894531
2023-10-12,19794.0,52.97999954223633,49.38999938964844
2023-10-13,19751.05078125,52.97999954223633,49.4900016784668
2023-10-16,19731.75,53.040000915527344,50.25
2023-10-17,19811.5,53.04999923706055,50.310001373291016
2023-10-18,19671.099609375,53.0,50.779998779296875
2023-10-19,19624.69921875,52.959999084472656,50.90999984741211
2023-10-20,19542.650390625,53.029998779296875,51.59000015258789
2023-10-23,19281.75,52.9900016784668,51.540000915527344
2023-10-25,19122.150390625,53.099998474121094,51.40999984741211
2023-10-26,18857.25,53.06999969482422,51.83000183105469
2023-10-27,19047.25,53.150001525878906,51.63999938964844
2023-10-30,19140.900390625,53.119998931884766,52.02000045776367
2023-10-31,19079.599609375,53.15999984741211,52.060001373291016
2023-11-01,18989.150390625,53.150001525878906,51.7599983215332
2023-11-02,19133.25,53.20000076293945,51.849998474121094
2023-11-03,19230.599609375,53.29999923706055,51.79999923706055
2023-11-06,19411.75,53.349998474121094,51.75
2023-11-07,19406.69921875,53.380001068115234,51.36000061035156
2023-11-08,19443.5,53.41999816894531,51.400001525878906
2023-11-09,19395.30078125,53.439998626708984,50.939998626708984
2023-11-10,19425.349609375,53.40999984741211,51.310001373291016
2023-11-13,19443.55078125,53.40999984741211,50.93000030517578
2023-11-15,19675.44921875,53.540000915527344,51.459999084472656
2023-11-16,19765.19921875,53.58000183105469,51.38999938964844
2023-11-17,19731.80078125,53.619998931884766,51.86000061035156
2023-11-20,19694.0,53.61000061035156,51.65999984741211
2023-11-21,19783.400390625,53.54999923706055,51.880001068115234
2023-11-22,19811.849609375,53.52000045776367,52.16999816894531
2023-11-23,19802.0,53.560001373291016,52.02000045776367
2023-11-24,19794.69921875,53.54999923706055,52.150001525878906
2023-11-28,19889.69921875,53.58000183105469,52.29999923706055
2023-11-29,20096.599609375,53.61000061035156,53.04999923706055
2023-11-30,20133.150390625,53.58000183105469,53.150001525878906
2023-12-01,20267.900390625,53.54999923706055,53.290000915527344
2023-12-04,20686.80078125,53.630001068115234,53.720001220703125
2023-12-05,20855.099609375,53.650001525878906,52.939998626708984
2023-12-06,20937.69921875,53.70000076293945,52.83000183105469
2023-12-07,20901.150390625,53.720001220703125,53.029998779296875
2023-12-08,20969.400390625,53.79999923706055,52.939998626708984
2023-12-11,20997.099609375,53.7400016784668,52.02000045776367
2023-12-12,20906.400390625,53.75,51.849998474121094
2023-12-13,20926.349609375,53.77000045776367,51.83000183105469
2023-12-14,21182.69921875,53.959999084472656,52.79999923706055
2023-12-15,21456.650390625,54.150001525878906,52.810001373291016
2023-12-18,21418.650390625,54.099998474121094,52.4900016784668
2023-12-19,21453.099609375,54.11000061035156,52.59000015258789
2023-12-20,21150.150390625,54.150001525878906,52.83000183105469
2023-12-21,21255.05078125,54.150001525878906,52.86000061035156
2023-12-22,21349.400390625,54.16999816894531,53.189998626708984
2023-12-26,21441.349609375,54.20000076293945,53.459999084472656
2023-12-27,21654.75,54.209999084472656,53.630001068115234
2023-12-28,21778.69921875,54.22999954223633,53.84000015258789
2023-12-29,21731.400390625,54.31999969482422,53.65999984741211
2024-01-01,21741.900390625,54.2400016784668,53.7400016784668
2024-01-02,21665.80078125,54.25,54.0099983215332
2024-01-03,21517.349609375,54.290000915527344,53.529998779296875
2024-01-04,21658.599609375,54.33000183105469,53.290000915527344
2024-01-05,21710.80078125,54.2599983215332,53.13999938964844
2024-01-08,21513.0,54.29999923706055,52.849998474121094
2024-01-09,21544.849609375,54.36000061035156,53.02000045776367
2024-01-10,21618.69921875,54.36000061035156,52.91999816894531
2024-01-11,21647.19921875,54.41999816894531,52.84000015258789
2024-01-12,21894.55078125,54.47999954223633,52.9900016784668
2024-01-15,22097.44921875,54.47999954223633,53.25
2024-01-16,22032.30078125,54.52000045776367,53.04999923706055
2024-01-17,21571.94921875,54.4900016784668,52.66999816894531
2024-01-18,21462.25,54.5099983215332,52.4900016784668
2024-01-19,21622.400390625,54.540000915527344,52.84000015258789
2024-01-23,21238.80078125,54.540000915527344,52.86000061035156
2024-01-24,21453.94921875,54.59000015258789,52.90999984741211
2024-01-25,21352.599609375,54.56999969482422,52.720001220703125
2024-01-29,21737.599609375,54.599998474121094,52.970001220703125
2024-01-30,21522.099609375,54.63999938964844,53.130001068115234
2024-01-31,21725.69921875,54.689998626708984,53.349998474121094
2024-02-01,21697.44921875,54.77000045776367,53.459999084472656
2024-02-02,21853.80078125,54.81999969482422,53.58000183105469
